week,pais,valor
2018-02-12,Países Bajos,1572
2018-02-12,Polonia,1114
2018-02-12,Portugal,1505
2018-02-12,Rumanía,1132
2018-02-12,Eslovaquia,1324
2018-02-12,Eslovenia,1319
2018-02-12,España,1248
2018-02-12,Suecia,1466
2018-02-12,Reino Unido,1372
2018-02-19,Austria,1195
2018-02-19,Bélgica,1330
2018-02-19,Bulgaria,1049
2018-02-19,Croacia,1289
2018-02-19,Chipre,1231
2018-02-19,República Checa,1206
2018-02-19,Dinamarca,1497
2018-02-19,Estonia,1278
2018-02-19,Finlandia,1452
2018-02-19,Francia,1461
2018-02-19,Alemania,1339
2018-02-19,Grecia,1550
2018-02-19,Hungría,1138
2018-02-19,Irlanda,1389
2018-02-19,Italia,1553
2018-02-19,Letonia,1229
2018-02-19,Lituania,1160
2018-02-19,Luxemburgo,1145
2018-02-19,Países Bajos,1548
2018-02-19,Polonia,1112
2018-02-19,Portugal,1486
2018-02-19,Rumanía,1111
2018-02-19,Eslovaquia,1294
2018-02-19,Eslovenia,1309
2018-02-19,España,1228
2018-02-19,Suecia,1438
2018-02-19,Reino Unido,1360
2018-02-26,Austria,1181
2018-02-26,Bélgica,1374
2018-02-26,Bulgaria,1045
2018-02-26,Croacia,1265
2018-02-26,Chipre,1229
2018-02-26,República Checa,1199
2018-02-26,Dinamarca,1497
2018-02-26,Estonia,1282
2018-02-26,Finlandia,1449
2018-02-26,Francia,1454
2018-02-26,Alemania,1340
2018-02-26,Grecia,1550
2018-02-26,Hungría,1126
2018-02-26,Irlanda,1379
2018-02-26,Italia,1547
2018-02-26,Letonia,1231
2018-02-26,Lituania,1162
2018-02-26,Luxemburgo,1145
2018-02-26,Países Bajos,1554
2018-02-26,Polonia,1109
2018-02-26,Portugal,1466
2018-02-26,Rumanía,1112
2018-02-26,Eslovaquia,1292
2018-02-26,Eslovenia,1301
2018-02-26,España,1224
2018-02-26,Suecia,1440
2018-02-26,Reino Unido,1361
2018-03-05,Austria,1180
2018-03-05,Bélgica,1334
2018-03-05,Bulgaria,1042
2018-03-05,Croacia,1279
2018-03-05,Chipre,1222
2018-03-05,República Checa,1197
2018-03-05,Dinamarca,1497
2018-03-05,Estonia,1281
2018-03-05,Finlandia,1458
2018-03-05,Francia,1457
2018-03-05,Alemania,1340
2018-03-05,Grecia,1528
2018-03-05,Hungría,1144
2018-03-05,Irlanda,1389
2018-03-05,Italia,1549
2018-03-05,Letonia,1237
2018-03-05,Lituania,1157
2018-03-05,Luxemburgo,1162
2018-03-05,Países Bajos,1555
2018-03-05,Polonia,1098
2018-03-05,Portugal,1463
2018-03-05,Rumanía,1118
2018-03-05,Eslovaquia,1309
2018-03-05,Eslovenia,1289
2018-03-05,España,1227
2018-03-05,Suecia,1422
2018-03-05,Reino Unido,1339
2018-03-12,Austria,1162
2018-03-12,Bélgica,1278
2018-03-12,Bulgaria,1040
2018-03-12,Croacia,1283
2018-03-12,Chipre,1219
2018-03-12,República Checa,1194
2018-03-12,Dinamarca,1483
2018-03-12,Estonia,1289
2018-03-12,Finlandia,1442
2018-03-12,Francia,1453
2018-03-12,Alemania,1326
2018-03-12,Grecia,1525
2018-03-12,Hungría,1151
2018-03-12,Irlanda,1369
2018-03-12,Italia,1547
2018-03-12,Letonia,1233
2018-03-12,Lituania,1152
2018-03-12,Luxemburgo,1142
2018-03-12,Países Bajos,1534
2018-03-12,Polonia,1091
2018-03-12,Portugal,1460
2018-03-12,Rumanía,1112
2018-03-12,Eslovaquia,1297
2018-03-12,Eslovenia,1273
2018-03-12,España,1222
2018-03-12,Suecia,1427
2018-03-12,Reino Unido,1345
2018-03-19,Austria,1161
2018-03-19,Bélgica,1319
2018-03-19,Bulgaria,1041
2018-03-19,Croacia,1279
2018-03-19,Chipre,1219
2018-03-19,República Checa,1192
2018-03-19,Dinamarca,1510
2018-03-19,Estonia,1290
2018-03-19,Finlandia,1437
2018-03-19,Francia,1447
2018-03-19,Alemania,1325
2018-03-19,Grecia,1524
2018-03-19,Hungría,1145
2018-03-19,Irlanda,1359
2018-03-19,Italia,1544
2018-03-19,Letonia,1232
2018-03-19,Lituania,1167
2018-03-19,Luxemburgo,1142
2018-03-19,Países Bajos,1531
2018-03-19,Polonia,1091
2018-03-19,Portugal,1457
2018-03-19,Rumanía,1116
2018-03-19,Eslovaquia,1293
2018-03-19,Eslovenia,1276
2018-03-19,España,1221
2018-03-19,Suecia,1440
2018-03-19,Reino Unido,1360
2018-03-26,Austria,1175
2018-03-26,Bélgica,1327
2018-03-26,Bulgaria,1040
2018-03-26,Croacia,1288
2018-03-26,Chipre,1218
2018-03-26,República Checa,1191
2018-03-26,Dinamarca,1551
2018-03-26,Estonia,1290
2018-03-26,Finlandia,1446
2018-03-26,Francia,1465
2018-03-26,Alemania,1318
2018-03-26,Grecia,1533
2018-03-26,Hungría,1151
2018-03-26,Irlanda,1369
2018-03-26,Italia,1547
2018-03-26,Letonia,1221
2018-03-26,Lituania,1161
2018-03-26,Luxemburgo,1142
2018-03-26,Países Bajos,1550
2018-03-26,Polonia,1113
2018-03-26,Portugal,1491
2018-03-26,Rumanía,1137
2018-03-26,Eslovaquia,1312
2018-03-26,Eslovenia,1281
2018-03-26,España,1237
2018-03-26,Suecia,1425
2018-03-26,Reino Unido,1367
2018-04-09,Austria,1205
2018-04-09,Bélgica,1393
2018-04-09,Bulgaria,1043
2018-04-09,Croacia,1322
2018-04-09,Chipre,1227
2018-04-09,República Checa,1207
2018-04-09,Dinamarca,1551
2018-04-09,Estonia,1332
2018-04-09,Finlandia,1467
2018-04-09,Francia,1481
2018-04-09,Alemania,1366
2018-04-09,Grecia,1533
2018-04-09,Hungría,1180
2018-04-09,Irlanda,1379
2018-04-09,Italia,1556
2018-04-09,Letonia,1230
2018-04-09,Lituania,1170
2018-04-09,Luxemburgo,1142
2018-04-09,Países Bajos,1596
2018-04-09,Polonia,1120
2018-04-09,Portugal,1509
2018-04-09,Rumanía,1147
2018-04-09,Eslovaquia,1355
2018-04-09,Eslovenia,1300
2018-04-09,España,1253
2018-04-09,Suecia,1466
2018-04-09,Reino Unido,1377
2018-04-16,Austria,1217
2018-04-16,Bélgica,1395
2018-04-16,Bulgaria,1047
2018-04-16,Croacia,1317
2018-04-16,Chipre,1237
2018-04-16,República Checa,1217
2018-04-16,Dinamarca,1564
2018-04-16,Estonia,1332
2018-04-16,Finlandia,1472
2018-04-16,Francia,1484
2018-04-16,Alemania,1383
2018-04-16,Grecia,1557
2018-04-16,Hungría,1186
2018-04-16,Irlanda,1389
2018-04-16,Italia,1563
2018-04-16,Letonia,1230
2018-04-16,Lituania,1164
2018-04-16,Luxemburgo,1194
2018-04-16,Países Bajos,1616
2018-04-16,Polonia,1153
2018-04-16,Portugal,1514
2018-04-16,Rumanía,1162
2018-04-16,Eslovaquia,1338
2018-04-16,Eslovenia,1306
2018-04-16,España,1261
2018-04-16,Suecia,1462
2018-04-16,Reino Unido,1394
2018-04-23,Austria,1225
2018-04-23,Bélgica,1384
