fecha,Temperaturamedia-mensual
2010/08/1,26
2010/09/1,"21,3"
2010/10/1,"14,1"
2010/11/1,"8,7"
2010/12/1,"6,2"
2011/01/1,"6,4"
2011/02/1,"8,5"
2011/03/1,10
2011/04/1,"16,7"
2011/05/1,"19,1"
2011/06/1,"22,8"
2011/07/1,"25,1"
2011/08/1,"25,9"
2011/09/1,"22,7"
2011/10/1,"17,2"
2011/11/1,"11,2"
2011/12/1,"6,9"
2012/01/1,"5,5"
2012/02/1,"5,1"
2012/03/1,"10,3"
2012/04/1,"11,6"
2012/05/1,"19,2"
2012/06/1,"24,5"
2012/07/1,"26,2"
2012/08/1,"26,9"
2012/09/1,"21,2"
2012/10/1,15
2012/11/1,"9,9"
2012/12/1,"6,8"
2013/01/1,"6,5"
2013/02/1,"6,9"
2013/03/1,"9,4"
2013/04/1,"12,8"
2013/05/1,15
2013/06/1,"21,3"
2013/07/1,"27,3"
2013/08/1,"26,7"
2013/09/1,"22,4"
2013/10/1,"16,5"
2013/11/1,"9,2"
2013/12/1,"6,3"
2014/01/1,8
2014/02/1,"7,3"
2014/03/1,"11,6"
2014/04/1,"16,2"
2014/05/1,"18,1"
2014/06/1,"22,4"
2014/07/1,"24,9"
2014/08/1,"25,7"
2014/09/1,"21,9"
2014/10/1,"18,2"
2014/11/1,"11,2"
2014/12/1,"7,3"
2015/01/1,"6,2"
2015/02/1,7
2015/03/1,"11,8"
2015/04/1,"15,1"
2015/05/1,"20,3"
2015/06/1,"24,7"
2015/07/1,"29,8"
2015/08/1,"25,6"
2015/09/1,"20,7"
2015/10/1,"15,8"
2015/11/1,"12,1"
2015/12/1,"9,9"
2016/01/1,"8,4"
2016/02/1,"8,4"
2016/03/1,"9,6"
2016/04/1,"12,3"
2016/05/1,"15,6"
2016/06/1,"22,6"
2016/07/1,"28,1"
2016/08/1,"27,5"
2016/09/1,"21,9"
2016/10/1,17
2016/11/1,"9,7"
2016/12/1,"8,3"
2017/01/1,6
2017/02/1,"9,2"
2017/03/1,"12,2"
2017/04/1,16
2017/05/1,"20,1"
2017/06/1,"26,4"
2017/07/1,"26,8"
2017/08/1,"26,7"
2017/09/1,"21,5"
2017/10/1,"18,7"
2017/11/1,"10,3"
2017/12/1,"6,8"
2018/01/1,"7,2"
2018/02/1,"6,3"
